epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,14836,1.47855,0.96089,1.09251,0.57847,0.38525,0.40731,0.22297,1.46317,0.94244,1.06057,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,15313,1.48118,0.9625,1.08923,0.53234,0.40258,0.41728,0.22972,1.45578,0.92756,1.04884,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,15789.5,1.47228,0.95454,1.08705,0.5621,0.36543,0.40552,0.22035,1.46207,0.93955,1.05291,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,16265.7,1.46957,0.95338,1.08587,0.58744,0.38117,0.41207,0.22559,1.45453,0.9385,1.05093,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,16741.2,1.46799,0.95219,1.08396,0.59897,0.37808,0.4236,0.23052,1.45478,0.93018,1.05477,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,17217.6,1.46477,0.9462,1.08501,0.56344,0.39491,0.41853,0.23173,1.43617,0.91971,1.04623,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,17693.3,1.45864,0.94052,1.08338,0.63259,0.37472,0.42054,0.23119,1.46151,0.93084,1.05615,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,18169.1,1.44607,0.93099,1.07724,0.55517,0.3824,0.41268,0.23101,1.44225,0.92376,1.0498,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,18645.7,1.44984,0.92744,1.0767,0.56379,0.38406,0.41973,0.23273,1.44048,0.90964,1.0477,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,19123.3,1.44423,0.92255,1.07068,0.55634,0.39171,0.42407,0.23474,1.43524,0.90866,1.04288,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,19599.1,1.44179,0.9192,1.07132,0.58342,0.41039,0.43811,0.24132,1.43571,0.90696,1.04313,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,20075.3,1.43872,0.92027,1.07485,0.55605,0.40999,0.43059,0.23882,1.44053,0.91368,1.04511,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,20551.3,1.43392,0.91493,1.07025,0.60929,0.39259,0.43016,0.23947,1.42921,0.90471,1.04084,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,21027.5,1.42986,0.90865,1.0684,0.55491,0.40145,0.42796,0.23647,1.43561,0.91184,1.04311,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,21503.2,1.43388,0.90837,1.06655,0.54466,0.40896,0.43092,0.2399,1.42214,0.89786,1.0371,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,21980.8,1.43248,0.90934,1.06674,0.56759,0.42486,0.4351,0.24428,1.43239,0.90568,1.04346,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,22459.2,1.42319,0.90368,1.06505,0.5943,0.39138,0.42912,0.24014,1.42707,0.89758,1.03966,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,22934.2,1.42052,0.89996,1.06347,0.55391,0.41216,0.43869,0.2452,1.42743,0.8913,1.03937,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,23409.8,1.41852,0.8966,1.06102,0.6228,0.38521,0.43092,0.23931,1.42327,0.89183,1.03692,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,23886.6,1.41644,0.89405,1.0609,0.56618,0.41325,0.42858,0.2364,1.43045,0.89141,1.03917,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,24362.4,1.41044,0.88693,1.05683,0.64973,0.39495,0.43489,0.24293,1.41663,0.88668,1.03464,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,24838.2,1.41012,0.88496,1.05701,0.59864,0.3939,0.43419,0.24297,1.41662,0.89196,1.03463,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,25313.9,1.40331,0.88505,1.05764,0.57997,0.40976,0.44458,0.24827,1.42277,0.88599,1.03615,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
