epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,327.876,0.73683,0.56266,0.97511,0.93565,0.78824,0.90327,0.61723,1.05765,0.68908,1.24616,0.0011684,0.0011684,0.0011684
44,330.516,0.79144,0.59174,0.99892,0.90944,0.82702,0.8976,0.63541,0.98119,0.63892,1.22998,0.0011486,0.0011486,0.0011486
45,333.593,0.75286,0.57344,0.99257,0.86865,0.84706,0.88515,0.64224,0.88704,0.60791,1.14857,0.0011288,0.0011288,0.0011288
46,336.733,0.66221,0.51332,0.97221,0.89993,0.84706,0.88634,0.63222,0.89972,0.58854,1.16183,0.001109,0.001109,0.001109
47,339.72,0.72544,0.54229,0.97379,0.91704,0.82353,0.87884,0.62814,0.91445,0.59805,1.18231,0.0010892,0.0010892,0.0010892
48,342.247,0.75034,0.54496,1.00221,0.89463,0.85882,0.885,0.62949,0.91555,0.62536,1.19542,0.0010694,0.0010694,0.0010694
49,344.903,0.6719,0.56072,0.96383,0.93538,0.83529,0.88217,0.58372,0.96565,0.67082,1.23516,0.0010496,0.0010496,0.0010496
50,347.42,0.71316,0.51305,0.98246,0.9217,0.83097,0.87986,0.6006,0.933,0.59588,1.20081,0.0010298,0.0010298,0.0010298
51,350.915,0.75186,0.55283,1.01846,0.86764,0.85882,0.8848,0.62803,0.92284,0.5548,1.19723,0.00101,0.00101,0.00101
52,354.076,0.67368,0.53547,0.95425,0.93471,0.77647,0.86931,0.62108,0.91778,0.58817,1.19179,0.0009902,0.0009902,0.0009902
53,362.546,0.68062,0.50879,0.9463,0.90812,0.78824,0.86781,0.62454,0.91361,0.61984,1.19417,0.0009704,0.0009704,0.0009704
54,364.858,0.72276,0.49924,0.97111,0.91852,0.79576,0.87359,0.62256,0.94383,0.61105,1.21083,0.0009506,0.0009506,0.0009506
55,367.294,0.72905,0.53428,0.97588,0.91724,0.82353,0.89823,0.62465,0.9344,0.62386,1.20938,0.0009308,0.0009308,0.0009308
56,370.14,0.69867,0.5757,0.97491,0.93331,0.82326,0.88266,0.6107,0.95121,0.61952,1.23119,0.000911,0.000911,0.000911
57,372.935,0.6897,0.47977,0.97612,0.94078,0.84706,0.89353,0.62469,0.95695,0.60902,1.2429,0.0008912,0.0008912,0.0008912
58,375.959,0.70395,0.48165,0.9587,0.94569,0.81944,0.89247,0.6428,0.95626,0.61173,1.23658,0.0008714,0.0008714,0.0008714
59,378.557,0.62982,0.50309,0.92677,0.93722,0.78824,0.88738,0.64323,0.893,0.57735,1.16811,0.0008516,0.0008516,0.0008516
60,381.574,0.69435,0.49017,0.93755,0.94375,0.78962,0.88104,0.6343,0.88576,0.59281,1.16358,0.0008318,0.0008318,0.0008318
61,384.289,0.69626,0.50706,0.9576,0.94055,0.8,0.8758,0.63372,0.86932,0.61731,1.16917,0.000812,0.000812,0.000812
62,387.312,0.69101,0.50709,0.99058,0.94273,0.8,0.87689,0.6377,0.86163,0.58852,1.17234,0.0007922,0.0007922,0.0007922
63,390.501,0.6861,0.49295,0.94729,0.97057,0.77599,0.87465,0.63085,0.87965,0.56352,1.16923,0.0007724,0.0007724,0.0007724
64,393.552,0.69923,0.49914,0.95233,0.94193,0.76339,0.86813,0.62736,0.90164,0.56896,1.17285,0.0007526,0.0007526,0.0007526
65,396.186,0.68601,0.50473,0.94749,0.93663,0.77647,0.87061,0.6301,0.90763,0.58886,1.17825,0.0007328,0.0007328,0.0007328
66,398.913,0.67577,0.50007,0.9287,0.90328,0.82353,0.89307,0.64444,0.90159,0.61367,1.14556,0.000713,0.000713,0.000713
67,401.677,0.62691,0.47468,0.93429,0.89344,0.82353,0.89018,0.66223,0.86491,0.59529,1.11437,0.0006932,0.0006932,0.0006932
68,405.277,0.69121,0.47873,0.94279,0.91986,0.8102,0.87847,0.66061,0.85507,0.58702,1.11345,0.0006734,0.0006734,0.0006734
69,408.545,0.60261,0.43576,0.93716,0.9419,0.76287,0.86579,0.65367,0.85535,0.58992,1.11878,0.0006536,0.0006536,0.0006536
70,411.664,0.63898,0.4484,0.93423,0.94486,0.76471,0.8763,0.66123,0.84851,0.57862,1.11815,0.0006338,0.0006338,0.0006338
71,414.523,0.59895,0.43916,0.9279,0.88096,0.81176,0.88164,0.66853,0.8454,0.56719,1.11834,0.000614,0.000614,0.000614
72,417.495,0.59571,0.41286,0.88172,0.89833,0.83167,0.88879,0.65003,0.86492,0.57498,1.14332,0.0005942,0.0005942,0.0005942
73,420.101,0.61446,0.43894,0.89222,0.89784,0.83529,0.88699,0.63759,0.86366,0.58015,1.15574,0.0005744,0.0005744,0.0005744
74,423.367,0.62533,0.45821,0.93052,0.88686,0.83529,0.88469,0.63973,0.85142,0.58308,1.14115,0.0005546,0.0005546,0.0005546
75,426.5,0.64997,0.46239,0.99082,0.92458,0.82353,0.89164,0.65855,0.85409,0.5768,1.12704,0.0005348,0.0005348,0.0005348
76,429.199,0.5679,0.43967,0.90958,0.94088,0.8,0.89251,0.6751,0.83861,0.56446,1.11964,0.000515,0.000515,0.000515
77,432.749,0.62248,0.44913,0.93012,0.93314,0.82099,0.88814,0.67788,0.83728,0.56581,1.1173,0.0004952,0.0004952,0.0004952
78,436.412,0.54302,0.38334,0.88866,0.92044,0.82353,0.88536,0.66516,0.85029,0.58315,1.12448,0.0004754,0.0004754,0.0004754
79,439.25,0.60287,0.43422,0.88831,0.90656,0.82353,0.88125,0.65837,0.86013,0.59264,1.13237,0.0004556,0.0004556,0.0004556
80,442.025,0.60612,0.43378,0.93524,0.92928,0.81176,0.88154,0.6636,0.85428,0.6022,1.12756,0.0004358,0.0004358,0.0004358
81,445.04,0.57999,0.43091,0.8955,0.9317,0.80246,0.87613,0.65356,0.84067,0.59919,1.11162,0.000416,0.000416,0.000416
82,448.296,0.57449,0.42418,0.9035,0.92221,0.8,0.8801,0.66136,0.84211,0.59474,1.11474,0.0003962,0.0003962,0.0003962
83,451.286,0.59611,0.4226,0.9222,0.94566,0.81905,0.89503,0.67174,0.8418,0.56314,1.12355,0.0003764,0.0003764,0.0003764
84,454.475,0.58835,0.40185,0.93833,0.90985,0.85882,0.89363,0.6777,0.83905,0.54428,1.12341,0.0003566,0.0003566,0.0003566
85,457.347,0.59672,0.43115,0.90677,0.92398,0.85791,0.89595,0.67842,0.83491,0.53417,1.12317,0.0003368,0.0003368,0.0003368
86,460.303,0.53944,0.40036,0.88505,0.94664,0.84706,0.89561,0.67649,0.83808,0.5195,1.13225,0.000317,0.000317,0.000317
87,463.119,0.57503,0.41034,0.929,0.95985,0.84378,0.8964,0.67054,0.83587,0.53095,1.12969,0.0002972,0.0002972,0.0002972
88,466.469,0.53341,0.38019,0.88562,0.95791,0.83529,0.89413,0.66833,0.83687,0.53868,1.13153,0.0002774,0.0002774,0.0002774
89,469.78,0.58243,0.42162,0.92562,0.9538,0.82353,0.89208,0.65823,0.8486,0.54715,1.14049,0.0002576,0.0002576,0.0002576
90,472.378,0.59686,0.41959,0.88935,0.94278,0.82353,0.89273,0.65619,0.85818,0.5504,1.15139,0.0002378,0.0002378,0.0002378
91,476.842,0.50174,0.34535,0.88589,0.93304,0.81968,0.89278,0.65673,0.84564,0.54016,1.15627,0.000218,0.000218,0.000218
92,480.094,0.50362,0.34796,0.88841,0.92536,0.82353,0.89203,0.65435,0.83957,0.53823,1.1576,0.0001982,0.0001982,0.0001982
93,482.901,0.54882,0.37143,0.86171,0.91649,0.83529,0.89443,0.65887,0.84951,0.5509,1.16192,0.0001784,0.0001784,0.0001784
94,485.349,0.50864,0.33879,0.8764,0.90677,0.83529,0.89381,0.66203,0.84778,0.55112,1.16078,0.0001586,0.0001586,0.0001586
95,487.951,0.51223,0.35669,0.88601,0.9019,0.83529,0.89365,0.65682,0.835,0.5503,1.15018,0.0001388,0.0001388,0.0001388
96,491.326,0.49713,0.33708,0.87494,0.89856,0.83529,0.89335,0.6608,0.83133,0.55315,1.14738,0.000119,0.000119,0.000119
97,494.386,0.45868,0.32253,0.85267,0.89741,0.83529,0.8936,0.66535,0.82931,0.55116,1.14347,9.92e-05,9.92e-05,9.92e-05
98,497.335,0.50693,0.32667,0.90454,0.89664,0.83529,0.89363,0.66332,0.8341,0.54331,1.14711,7.94e-05,7.94e-05,7.94e-05
99,500.326,0.52135,0.35944,0.88112,0.9084,0.83529,0.89289,0.66804,0.8368,0.5415,1.14579,5.96e-05,5.96e-05,5.96e-05
100,503.265,0.47451,0.33129,0.86527,0.90633,0.83529,0.89217,0.6647,0.83781,0.53954,1.14507,3.98e-05,3.98e-05,3.98e-05
