epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,14781.7,1.2568,0.77272,0.99411,0.72432,0.52076,0.60367,0.3626,1.12341,0.69097,0.93451,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,15256.5,1.26128,0.77432,0.99532,0.72401,0.55525,0.61227,0.36277,1.12067,0.68583,0.93143,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,15731.3,1.25511,0.77008,0.99374,0.64879,0.56363,0.60188,0.36123,1.11856,0.68308,0.92853,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,16205.9,1.24628,0.76662,0.99211,0.66878,0.5363,0.60039,0.36077,1.11755,0.68339,0.92857,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,16680.1,1.2472,0.76492,0.98941,0.7052,0.54801,0.59389,0.35686,1.12216,0.68751,0.93145,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,17154.8,1.24685,0.76198,0.99145,0.73752,0.53463,0.61305,0.36505,1.11141,0.67626,0.92753,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,17629.6,1.23953,0.75817,0.98906,0.73139,0.54068,0.61573,0.3725,1.10702,0.67275,0.927,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,18104.3,1.23157,0.75192,0.98574,0.72516,0.52262,0.60222,0.36496,1.11299,0.67248,0.92563,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,18578.9,1.2349,0.75163,0.98442,0.66067,0.5491,0.60242,0.36006,1.10726,0.66853,0.92592,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,19053.2,1.22808,0.74664,0.98118,0.74337,0.51665,0.60767,0.36776,1.10983,0.67004,0.92492,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,19527.9,1.22557,0.74192,0.98051,0.73112,0.5304,0.60303,0.36369,1.11046,0.66962,0.92535,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,20002.4,1.22599,0.74306,0.98464,0.71716,0.55166,0.61735,0.37447,1.09961,0.66125,0.92403,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,20476.8,1.22358,0.73943,0.98128,0.71536,0.54657,0.60783,0.3686,1.09829,0.66884,0.92466,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,20951.1,1.22052,0.73994,0.98226,0.73634,0.54745,0.61619,0.37492,1.10604,0.66908,0.92509,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,21425.3,1.2233,0.73708,0.98049,0.72753,0.54535,0.60889,0.37004,1.09701,0.6627,0.92448,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,21899.7,1.22314,0.7391,0.97979,0.71825,0.53921,0.59908,0.36317,1.09212,0.66282,0.92234,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,22374.1,1.21545,0.73539,0.9784,0.7207,0.54811,0.60108,0.36254,1.09071,0.65773,0.92005,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,22848.3,1.21279,0.73122,0.97702,0.73378,0.5265,0.60131,0.36308,1.09338,0.65747,0.9234,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,23322.5,1.21248,0.72956,0.97555,0.70413,0.56115,0.61912,0.37726,1.09352,0.65483,0.92212,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,23797,1.206,0.72491,0.97413,0.75387,0.53492,0.62032,0.37569,1.08974,0.65278,0.92004,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,24271.4,1.20878,0.72413,0.97436,0.70807,0.55715,0.6142,0.37573,1.09363,0.65517,0.92109,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,24745.8,1.20267,0.72075,0.9726,0.71806,0.5575,0.62574,0.37885,1.09266,0.64957,0.91993,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,25220,1.19834,0.72038,0.97401,0.68778,0.57234,0.62195,0.37779,1.08958,0.64542,0.91994,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,25694.6,1.20361,0.72184,0.97263,0.68674,0.56914,0.61894,0.3776,1.08687,0.65117,0.91929,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,26169.2,1.20025,0.71718,0.97064,0.73246,0.56378,0.62972,0.38414,1.0886,0.64613,0.91931,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,26643.9,1.1967,0.71694,0.96962,0.75214,0.55279,0.62709,0.38146,1.08803,0.64868,0.91961,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,27118.5,1.1984,0.71483,0.97107,0.71719,0.55832,0.61841,0.37679,1.08728,0.64879,0.91864,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,27593.4,1.19315,0.70986,0.96811,0.72909,0.55504,0.62245,0.377,1.08692,0.64803,0.91683,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,28068.2,1.19125,0.70781,0.96632,0.73981,0.54524,0.62812,0.38368,1.0857,0.64392,0.91756,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,28542.9,1.18844,0.70868,0.96775,0.68699,0.56849,0.62273,0.37967,1.08602,0.64119,0.91761,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,29017.5,1.184,0.70276,0.96301,0.70615,0.5502,0.62137,0.37816,1.08242,0.63955,0.91675,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,29492.4,1.18296,0.70158,0.96525,0.69206,0.55158,0.62189,0.38069,1.08186,0.64114,0.9176,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,29966.9,1.18439,0.70158,0.96398,0.69165,0.5546,0.62397,0.38322,1.07991,0.64124,0.91748,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,30441.8,1.18377,0.70239,0.96378,0.74764,0.5444,0.61917,0.37734,1.07913,0.6409,0.9159,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
